0.01,0.02,2.69
-0.00,0.01,12.51
-0.00,0.02,7.20
0.03,0.02,2.32
-0.00,0.03,2.99
0.02,0.02,2.75
0.00,0.02,2.50
-0.00,0.04,2.26
0.02,0.04,2.81
0.00,0.02,3.23
0.00,0.03,2.87
-0.00,0.03,1.40
0.01,0.03,2.69
0.02,0.03,3.23
-0.01,0.02,18.43
0.01,0.03,2.44
0.00,0.02,3.23
0.01,0.01,4.58
-0.00,0.02,3.60
0.01,0.02,2.81
0.01,0.03,2.32
0.00,0.03,3.17
0.01,0.03,4.76
0.01,0.02,3.36
0.01,0.03,3.78
0.01,0.02,5.43
-0.00,0.03,5.37
0.04,-0.01,8.79
0.01,0.05,5.80
0.03,0.05,3.85
-0.03,-0.01,2.26
0.12,0.05,5.25
-0.01,0.05,3.54
-0.06,0.00,0.24
0.01,0.05,-1.95
-0.11,0.13,-13.73
0.06,0.02,3.72
0.20,0.04,4.39
-0.01,0.03,7.14
0.11,0.03,10.07
0.02,0.03,-7.93
-0.05,0.05,0.18
-0.04,0.03,0.49
0.02,0.02,2.99
0.02,0.02,1.95
-0.01,0.04,2.75
0.06,0.02,9.34
-0.03,-0.02,6.90
0.01,0.04,7.93
0.02,0.03,3.60
-0.13,0.04,1.77
0.05,0.03,8.00
-0.04,0.04,6.16
0.02,-0.01,8.06
-0.11,0.07,3.72
0.06,0.04,6.23
0.04,0.04,8.73
0.00,0.02,-5.98
0.01,0.03,2.44
0.00,0.02,2.38
0.02,0.02,2.56
-0.00,0.02,1.83
0.01,0.00,2.38
0.00,-0.00,-0.18
-0.03,0.09,-2.81
0.10,0.11,1.46
-0.00,0.07,-2.38
0.06,-0.02,-5.62
0.03,0.06,-5.43
0.07,-0.03,-1.65
-0.02,-0.09,-2.01
0.07,-0.05,-3.72
0.01,0.09,-1.40
0.01,-0.02,-0.24
0.01,-0.03,4.15
0.01,0.03,2.26
0.00,0.03,2.93
0.01,0.03,3.42
0.01,0.03,2.44
-0.00,0.02,5.80
-0.01,0.06,4.03
0.03,-0.04,5.19
-0.02,0.12,8.79
0.03,0.19,9.16
0.05,0.19,10.62
-0.01,-0.01,6.29
-0.03,0.05,8.42
-0.07,0.05,5.49
0.02,0.03,9.89
0.02,0.15,5.86
-0.01,0.07,-0.37
0.08,-0.14,5.00
0.03,0.02,5.74
-0.00,0.03,2.32
0.00,0.04,2.87
0.01,0.02,2.32
-0.01,0.05,19.65
0.01,0.03,42.91
-0.07,0.01,70.19
0.05,0.04,106.45
-0.09,-0.04,85.39
-0.01,0.01,83.98
-0.10,0.00,78.74
0.13,-0.01,77.88
0.01,0.02,27.59
0.01,0.03,19.71
0.01,0.02,2.87
0.01,0.03,-7.75
0.01,0.01,-15.81
0.02,0.02,-40.10
0.02,0.01,-73.91
-0.00,-0.00,-62.19
0.01,0.04,-51.33
-0.00,0.03,-76.42
0.02,0.00,-69.58
0.00,0.03,-28.26
-0.04,0.01,-34.91
-0.01,0.03,-39.92
0.01,0.01,-8.91
0.01,0.02,-15.08
0.04,0.04,-17.21
0.08,0.05,-34.24
-0.00,0.02,-17.33
0.03,0.03,-15.93
0.14,0.12,-76.97
0.01,0.01,-60.61
0.07,-0.00,-52.80
-0.03,0.04,-47.18
0.01,0.03,-36.68
0.00,0.03,2.56
-0.03,0.02,98.75
0.02,-0.05,109.99
0.04,-0.02,47.55
-0.01,0.07,44.37
0.10,0.01,83.19
0.00,0.03,29.85
0.03,0.02,3.36
0.03,0.02,2.50
-0.00,0.02,3.17
0.02,0.02,3.30
0.01,0.02,2.56
0.00,0.04,1.40
0.01,0.04,2.08
0.01,0.03,2.26
-0.00,0.01,2.32
0.02,0.01,3.11
-0.01,0.03,2.75
0.00,0.02,2.75
0.02,0.03,2.62
-0.01,0.01,2.32
0.01,0.02,2.62
0.01,0.04,3.30
0.01,0.01,3.05
0.00,0.03,3.30
-0.00,0.02,2.81
-0.00,0.02,1.89
0.00,0.02,2.93
0.00,0.02,2.69
-0.01,0.02,2.44
